	PlaceTest	DateTest	Rate	TextRate	HourTest	Sex	MaritalStatus	Education	Hometown	Neighborhood	Approved	AllRate	HasTextRate	Month	Year
215	1	2017-03-01	5.5	1.5	1	2	4	0	BRASILIA	Vale das Palmeiras	1	7.0	1	3	2017
216	1	2017-09-01	5.5	1.5	2	2	4	8	Matozinhos	Brasília	1	7.0	1	9	2017
217	1	2017-08-01	5.5	1.5	2	1	4	3	Sete Lagoas	Zona Rural	1	7.0	1	8	2017
218	1	2017-07-01	5.5	1.5	2	2	4	3	Sete lagoas	JK	1	7.0	1	7	2017
219	1	2017-10-01	5.45	1.7	1	1	1	4	Diamantina 	Morro do Claro	1	7.15	1	10	2017
220	1	2017-08-01	5.45	1.7	2	2	4	2	CURVELO	São Judas Tadeu	1	7.15	1	8	2017
221	1	2017-01-16	5.45	1.7	1	1	4	3	sete lagoas	Montreal	1	7.15	1	1	2017
222	1	2017-01-16	5.45	1.2	1	1	4	3	Pompéu	Centro	1	6.65	1	1	2017
223	1	2017-07-01	5.4	1.4	2	1	1	8	ABAETÉ	Montreal	1	6.800000000000001	1	7	2017
224	1	2017-01-15	5.4	1.4	2	2	4	9	CORINTO	Fátima	1	6.800000000000001	1	1	2017
225	1	2017-01-15	5.4	1.4	1	1	1	0	CORINTO	Alvorada	1	6.800000000000001	1	1	2017
226	1	2017-01-15	5.35	1.6	2	1	4	8	SETE LAGOAS	São Geraldo	1	6.949999999999999	1	1	2017
227	1	2017-09-01	5.35	1.6	2	1	4	4	Curvelo	Passaginha	1	6.949999999999999	1	9	2017
228	1	2017-01-16	5.35	1.6	2	2	4	3	SETE LAGOAS	ZONA RURAL	1	6.949999999999999	1	1	2017
229	1	2017-01-13	5.35	1.6	2	2	4	8	SETE LAGOAS	Morro do Claro	1	6.949999999999999	1	1	2017
230	1	2017-08-01	5.35	1.6	1	1	1	3	Sete Lagoas	Luxemburgo	1	6.949999999999999	1	8	2017
231	1	2017-01-17	5.35	1.6	1	2	4	6	BELO HORIZONTE	Centro	1	6.949999999999999	1	1	2017
232	1	2017-01-15	5.35	1.6	2	1	4	8	Sete Lagoas	Morro do Claro	1	6.949999999999999	1	1	2017
233	1	2017-01-16	5.35	1.6	1	2	4	8	sete lagoas	Progresso	1	6.949999999999999	1	1	2017
234	1	2017-01-16	5.25	1.5	1	2	5	8	Coração de Jesus	Santa Lúcia	1	6.75	1	1	2017
